MARC field and 2nd indicator,Term
655_7,Scores.|2rbgenr 
655_7,Scrapbooks.|2gmgpc 
655_7,Scratchboard drawings.|2gmgpc 
655_7,Screen prints.|2gmgpc 
655_0,Sculpture. 
655_7,Seascapes.|2gmgpc 
655_7,Sections.|2gmgpc
655_7,Self-portraits.|2gmgpc 
655_0,Sepulchral monuments. 
655_7,Sermons.|2rbgenr 
655_7,Sheet music covers.|2gmgpc 
655_0,Shelf clocks. 
655_7,Short stories.|2rbgenr
655_0,Sign language.
655_0,Signs and symbols. 
655_7,Signs (Notices).|2gmgpc 
655_7,Silhouettes.|2gmgpc 
655_7,Sketchbooks.|2gmgpc 
655_7,Sketches.|2gmgpc 
655_7,Skit notes.|2local
655_7,Slides.|2gmgpc
655_0,Snuff boxes and bottles. 
655_7,Soft-ground etchings.|2gmgpc 
655_7,Song sheets.|2rbgenr
655_7,Songs.|2rbgenr 
655_0,"Songs, Irish. "
655_0,Sound recordings. 
655_7,Souvenir programs.|2rbgenr 
655_7,Standard specifications.|2local 
655_7,Stationery.|2gmgpc 
655_7,Statistics.|2local 
655_7,Steel engravings.|2gmgpc 
655_7,Stencils (Images).|2gmgpc 
655_7,Stereographs.|2gmgpc 
655_7,Stickers.|2gmgpc 
655_7,Still life drawings.|2gmgpc
655_7,Still life paintings.|2gmgpc 
655_7,Still life photographs.|2gmgpc 
655_7,Still life prints.|2gmgpc 
655_7,Still lifes.|2gmgpc 
655_7,Stipple engravings.|2gmgpc 
655_7,Student works.|2gmgpc
655_7,Student Collection.|2local
655_7,Studies (Visual works).|2gmgpc 
655_7,Studio debates.|2local
655_7,Study guides.|2local 
655_7,Subscribers' lists.|2rbgenr 
655_7,Syllabi.|2local 
655_0,Tables (Systematic lists). 
655_0,Tankas (Tibetan scrolls). 
655_7,Tarot cards.|2gmgpc
655_7,Teaching Materials.|2mesh
655_7,Tempera paintings.|2gmgpc 
655_7,Textbooks.|2rbgenr
655_0,Textile fabrics. 
655_7,Theater programs.|2rbgenr 
655_7,Theatrical posters.|2gmgpc
655_7,Then & now comparisons.|2gmgpc 
655_7,Thesauri.|2rbgenr 
655_0,Thorns. 
655_7,Three deckers.|2rbgenr
655_7,Three-in-one pictures.|2gmgpc 
655_7,Tickets.|2gmgpc
655_0,Tiles. 
655_7,Tintypes.|2gmgpc 
655_7,Title pages.|2gmgpc 
655_7,Tole painting.|2gmgpc
655_7,Topographical maps.|2gmgpc 
655_7,Trade cards.|2gmgpc 
655_7,Trade catalogues.|2rbgenr 
655_7,Transfer sheets.|2gmgpc 
655_7,Translations.|2rbgenr 
655_7,Transparencies.|2gmgpc 
655_7,Travel literature.|2rbgenr 
655_7,Travel sketches.|2gmgpc 
655_7,Treaties.|2rbgenr 
655_7,Trial proceedings.|2rbgenr
655_0,Triptychs.|2gmgpc
655_0,Tusks. 
655_0,Unicorns Anatomy. 
655_7,Union lists.|2local 
655_7,University catalogues.|2rbgenr 
655_7,Valentines.|2gmgpc
655_0,Vanitas (Art). 
655_7,Veterinary fugitive sheets.|2local 
655_0,Video recordings. 
655_0,Videocassettes. 
655_0,Videodiscs. 
655_7,Viewbooks.|2rbgenr 
655_7,Vignettes.|2gmgpc 
655_7,Visiting cards.|2gmgpc 
655_0,Votive offerings. 
655_7,Wall charts.|2local
655_7,Wallpapers.|2gmgpc 
655_7,War posters.|2gmgpc 
655_7,Wash drawings.|2gmgpc 
655_7,Watercolors.|2gmgpc 
655_0,Wax-modeling.
655_0,Web sites.
655_7,Wet collodion negatives.|2gmgpc 
655_7,Window cards.|2gmgpc 
655_0,Wood-carving. 
655_7,Wood engravings.|2gmgpc 
655_0,Wood sculpture. 
655_7,Woodburytypes.|2gmgpc 
655_7,Woodcuts.|2gmgpc 
655_0,Wooden signs and signboards.
655_7,Yearbooks.|2rbgenr
655_7,Zincographs.|2gmgpc 
655_0,Zines.
